datetime,close,high,low,open,vol,amount,ma5,ma10,ma20,ma30,ma60
2017-04-05 10:25:00,3254.49,3255.42,3251.58,3251.91,738589.6,7385899008.0,3247.7,3242.34,3230.97,3226.51,
2017-04-05 10:30:00,3253.78,3255.14,3251.95,3254.97,565713.08,5657133056.0,3250.48,3243.69,3233.14,3227.78,3222.32
2017-04-05 10:35:00,3252.1,3254.75,3251.87,3253.58,511618.8,5116190720.0,3251.68,3245.37,3235.14,3228.95,3222.98
2017-04-05 10:40:00,3254.69,3254.78,3251.37,3252.23,479910.04,4799102976.0,3253.25,3247.51,3237.13,3230.22,3223.76
2017-04-05 10:45:00,3255.68,3256.24,3254.06,3254.63,462322.6,4623228928.0,3254.15,3249.39,3239.04,3231.46,3224.48
2017-04-05 10:50:00,3258.61,3258.9,3255.38,3255.73,527748.8,5277491200.0,3254.97,3251.34,3241.06,3232.71,3225.15
2017-04-05 10:55:00,3258.15,3258.94,3256.96,3258.37,461740.16,4617404416.0,3255.85,3253.16,3242.99,3233.99,3225.82
2017-04-05 11:00:00,3260.74,3261.58,3257.64,3257.64,466489.88,4664901632.0,3257.57,3254.62,3244.91,3235.45,3226.56
2017-04-05 11:05:00,3260.9,3261.9,3260.56,3261.85,450238.56,4502388736.0,3258.82,3256.03,3246.89,3236.89,3227.33
2017-04-05 11:10:00,3257.2,3261.23,3257.2,3260.62,467500.76,4675010560.0,3259.12,3256.63,3248.63,3238.26,3228.11
2017-04-05 11:15:00,3255.87,3257.98,3255.73,3257.22,402343.24,4023435264.0,3258.57,3256.77,3249.56,3239.57,3228.87
2017-04-05 11:20:00,3256.4,3257.05,3255.67,3256.0,399931.48,3999318016.0,3258.22,3257.03,3250.36,3241.1,3229.68
2017-04-05 11:25:00,3255.58,3256.94,3255.47,3256.23,350795.88,3507961856.0,3257.19,3257.38,3251.37,3242.55,3230.48
2017-04-05 11:30:00,3256.67,3257.78,3255.04,3255.54,339402.48,3394027520.0,3256.34,3257.58,3252.55,3243.95,3231.23
2017-04-05 13:05:00,3257.62,3258.98,3256.75,3256.75,459777.4,4597776384.0,3256.43,3257.77,3253.58,3245.29,3231.98
2017-04-05 13:10:00,3257.47,3258.52,3257.02,3258.13,319102.68,3191029760.0,3256.75,3257.66,3254.5,3246.59,3232.71
2017-04-05 13:15:00,3257.51,3258.34,3256.97,3257.31,354710.08,3547103232.0,3256.97,3257.6,3255.38,3247.86,3233.35
2017-04-05 13:20:00,3257.17,3258.4,3256.5,3257.99,376120.64,3761209344.0,3257.29,3257.24,3255.93,3249.02,3233.98
2017-04-05 13:25:00,3256.82,3257.51,3256.29,3256.82,377216.72,3772170240.0,3257.32,3256.83,3256.43,3250.21,3234.63
2017-04-05 13:30:00,3257.64,3258.33,3256.89,3257.16,374326.6,3743268864.0,3257.32,3256.87,3256.75,3251.38,3235.26
2017-04-05 13:35:00,3257.72,3257.87,3256.59,3257.82,360313.36,3603136512.0,3257.37,3257.06,3256.92,3252.06,3235.83
2017-04-05 13:40:00,3259.84,3260.3,3256.95,3256.95,390084.68,3900850176.0,3257.84,3257.4,3257.22,3252.71,3236.43
2017-04-05 13:45:00,3260.2,3261.31,3259.31,3259.31,401853.28,4018536448.0,3258.44,3257.87,3257.62,3253.54,3237.01
2017-04-05 13:50:00,3261.73,3262.21,3259.99,3261.33,361917.36,3619176448.0,3259.43,3258.37,3257.98,3254.49,3237.64
2017-04-05 13:55:00,3262.54,3262.98,3261.1,3261.66,380449.28,3804495872.0,3260.41,3258.86,3258.32,3255.34,3238.33
2017-04-05 14:00:00,3265.45,3265.66,3262.21,3262.21,479534.8,4795351040.0,3261.95,3259.66,3258.66,3256.22,3239.1
2017-04-05 14:05:00,3267.46,3268.09,3265.67,3265.89,591080.36,5910806528.0,3263.48,3260.66,3259.13,3257.14,3239.87
2017-04-05 14:10:00,3264.86,3267.94,3264.43,3267.94,446029.52,4460298240.0,3264.41,3261.43,3259.33,3257.76,3240.61
2017-04-05 14:15:00,3263.49,3265.24,3262.53,3264.55,374241.36,3742416896.0,3264.76,3262.09,3259.46,3258.32,3241.32
2017-04-05 14:20:00,3263.73,3264.14,3262.61,3262.84,364297.96,3642982400.0,3265.0,3262.7,3259.79,3258.74,3242.02
2017-04-05 14:25:00,3264.4,3264.96,3263.51,3264.38,389327.8,3893280768.0,3264.79,3263.37,3260.21,3259.07,3242.79
2017-04-05 14:30:00,3266.15,3266.24,3264.24,3265.41,396443.36,3964436480.0,3264.53,3264.0,3260.7,3259.48,3243.63
2017-04-05 14:35:00,3265.83,3266.67,3265.54,3265.87,423170.6,4231708672.0,3264.72,3264.56,3261.21,3259.94,3244.44
2017-04-05 14:40:00,3267.0,3267.35,3265.53,3265.93,485110.28,4851105792.0,3265.42,3265.09,3261.73,3260.35,3245.28
2017-04-05 14:45:00,3267.34,3267.87,3266.34,3266.7,559424.88,5594251264.0,3266.14,3265.57,3262.22,3260.74,3246.1
2017-04-05 14:50:00,3266.72,3268.24,3266.16,3267.45,607710.12,6077104128.0,3266.61,3265.7,3262.68,3261.01,3246.86
2017-04-05 14:55:00,3267.68,3268.13,3266.23,3267.52,682088.56,6820888576.0,3266.91,3265.72,3263.19,3261.32,3247.66
2017-04-05 15:00:00,3270.31,3270.65,3267.75,3267.85,939153.52,9391538176.0,3267.81,3266.26,3263.85,3261.64,3248.55
2017-04-06 09:35:00,3267.49,3272.19,3265.87,3272.19,1876529.6,18765299712.0,3267.91,3266.66,3264.38,3261.86,3249.37
2017-04-06 09:40:00,3270.77,3271.63,3268.0,3268.23,1057300.8,10573010944.0,3268.59,3267.37,3265.04,3262.32,3250.29
2017-04-06 09:45:00,3270.69,3271.74,3270.54,3270.63,895387.6,8953878528.0,3269.39,3268.0,3265.68,3262.81,3251.19
2017-04-06 09:50:00,3273.51,3274.19,3270.11,3270.79,854481.44,8544817152.0,3270.55,3268.73,3266.37,3263.38,3252.24
2017-04-06 09:55:00,3272.91,3275.64,3272.91,3273.88,840996.56,8409968640.0,3271.07,3269.44,3267.0,3263.96,3253.26
